case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
m21_pressure_small_d695_3d_stack,m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,84,54,1,tam_like,fixed_path,ok,,0.06697580000000002,0.006250726792884886,159.98139626551682,-11.610261455683764,2.48,37.27352389661954,12.273523896619537,thermal_die2,0.9997640938966013,0.018311688699500412,45,0.00122644,0.06696,0.06811252000000002,F:10;I:3;S:1,0,10,0,1,greedy
m21_pressure_small_d695_3d_stack,m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,84,54,1,m4_greedy,joint,ok,,0.03761972,0.003510978469011604,284.8208864925098,37.30949409951632,6.44,51.237133101893875,26.237133101893875,thermal_die1,0.6804941663574318,0.03313900262947198,39,0.0012466799999999998,0.025600000000000005,0.06274652000000001,B:6;F:4;I:3;S:1,6,4,0,1,greedy
m21_pressure_small_d695_3d_stack,m10_small_d695_3d_stack,d695,small,3d_stack,4,1,14,84,54,1,m5_cpsat,joint,ok,,0.03200452,0.002986922301150866,334.7927730208109,46.66681331221636,7.869999999999999,51.26011559889299,26.260115598892988,thermal_die2,0.9998587699487449,0.038944499089503606,40,0.0012464,0.03200000000000001,0.06314752,B:5;F:5;I:3;S:1,5,5,0,1,OPTIMAL
m21_pressure_small_d695_5_5d_multi_tower,m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,84,54,2,pure_serial,baseline,ok,,10.714912400000005,1.0,1.0,-30682.901631808796,2.48,42.65079925778436,17.650799257784357,thermal_die1,0.0,0.9999987867376314,55,10.714899400000007,0,10.71484852,I:3;S:11,0,0,0,11,greedy
m21_pressure_small_d695_5_5d_multi_tower,m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,84,54,2,fixed_fastest,fixed_path,ok,,0.034808,0.0032485566564221264,307.82901631808795,0.0,8.530000000000001,53.525594414865644,28.525594414865644,thermal_die1,0.0,0.0370891749023213,35,0.0012909999999999996,0,0.05918315999999999,B:10;I:3;S:1,10,0,0,1,greedy
m21_pressure_small_d695_5_5d_multi_tower,m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,84,54,2,tam_like,fixed_path,ok,,0.06697452000000001,0.006250589598847302,159.98490769325414,-92.41128476212369,2.48,35.94113867548875,10.941138675488752,thermal_die1,0.9997832011338043,0.018765942630122618,45,0.00125684,0.06696,0.06815316000000002,F:10;I:3;S:1,0,10,0,1,greedy
m21_pressure_small_d695_5_5d_multi_tower,m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,84,54,2,m4_greedy,joint,ok,,0.023207999999999996,0.002165953311946814,461.69046880386105,33.32567225925075,10.63,52.10016146867109,27.10016146867109,thermal_die1,0.8273009307135473,0.055177524991382294,38,0.00128056,0.019200000000000002,0.060986160000000005,B:7;F:3;I:3;S:1,7,3,0,1,greedy
m21_pressure_small_d695_5_5d_multi_tower,m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,84,54,2,m5_cpsat,joint,ok,,0.02320736,0.0021658935821071193,461.70320105345905,33.327510917030565,10.06,52.97635465651221,27.976354656512207,thermal_die1,0.8273237455703709,0.05515146918908484,38,0.00127992,0.019200000000000002,0.060986160000000005,B:7;F:3;I:3;S:1,7,3,0,1,OPTIMAL
m21_pressure_xlarge_p93791_2_5d_interposer,m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,204,132,2,pure_serial,baseline,ok,,142.1366085599996,1.0,1.0,-227630.4733523027,2.48,35.21463999553602,10.214639995536018,thermal_die7,0.0,0.9999997537580201,143,142.13657355999968,0,142.13645931999991,I:11;S:25,0,0,0,25,greedy
m21_pressure_xlarge_p93791_2_5d_interposer,m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,204,132,2,fixed_fastest,fixed_path,ok,,0.06241439999999998,0.00043911558487518877,2277.304733523027,0.0,8.65,33.21093349016546,8.21093349016546,thermal_die7,0.0,0.08558730036658191,95,0.005341879999999988,0,0.12989067999999993,B:24;I:11;S:1,24,0,0,1,greedy
