case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,lane_count,power_profile,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,peak_power_w,peak_temperature_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,selected_recipe_types,thermal_violations,solver_status
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,tam_like,fixed_path,ok,,0.0012598400000000004,0.34509735172625394,2.8977330454660892,2.2870999999999997,25.001403867976563,thermal_die0,0.0029000210344170686,0.9976187452374902,F:10;I:3;S:1,0,greedy
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,joint_m4_greedy,joint,ok,,0.0012598400000000004,0.34509735172625394,2.8977330454660892,2.2870999999999997,25.001403867976563,thermal_die0,0.0029000210344170686,0.9976187452374902,F:10;I:3;S:1,0,greedy
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,m5_cpsat,joint,ok,,0.00125684,0.34427558701392624,2.904649756532255,2.2384999999999997,25.00140103354734,thermal_die0,0.0029120651793386595,1.0000000000000004,F:10;I:3;S:1,0,FEASIBLE
m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,184,108,8,nominal,pure_serial,baseline,ok,,0.17553611999999993,1.0,1.0,2.1799999999999997,25.13229841186787,thermal_die8,0.0,0.999800610837245,I:11;S:25,0,greedy
m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,184,108,8,nominal,fixed_fastest,fixed_path,ok,,0.005270639999999998,0.030025957050890725,33.30451709849278,2.2659,25.008779051112572,thermal_die0,0.006304365136397099,0.9979129669262176,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,184,108,8,nominal,fixed_low_power,fixed_path,ok,,0.005586160000000001,0.03182342186895781,31.42339639394502,2.524,25.008778754177083,thermal_die0,0.00573249753632191,0.944040270955361,B:4;F:20;I:11;S:1,0,greedy
m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,184,108,8,nominal,fixed_thermal_min,fixed_path,ok,,0.005586160000000001,0.03182342186895781,31.42339639394502,2.524,25.008778754177083,thermal_die0,0.00573249753632191,0.944040270955361,B:4;F:20;I:11;S:1,0,greedy
m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,184,108,8,nominal,tam_like,fixed_path,ok,,0.005270639999999998,0.030025957050890725,33.30451709849278,2.2659,25.008779051112572,thermal_die0,0.006304365136397099,0.9979129669262176,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_2_5d_interposer,p93791,xlarge,2_5d_interposer,12,1,36,184,108,8,nominal,joint_m4_greedy,joint,ok,,0.005270639999999998,0.030025957050890725,33.30451709849278,2.2659,25.008779051112572,thermal_die0,0.006304365136397099,0.9979129669262176,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_3d_stack,p93791,xlarge,3d_stack,12,1,36,184,108,8,nominal,pure_serial,baseline,ok,,0.17668523999999985,1.0,1.0,2.1799999999999997,25.152052567151976,thermal_die8,0.0,0.9998019076183157,I:11;S:25,0,greedy
