ablation_id,ablation_label,case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,103,3,pure_serial,baseline,ok,,0.2104461200000001,1.0,1.0,-6815.899462714959,2.1799999999999997,25.138723276204328,0.13872327620432756,thermal_die0,0.0,0.9998717011271102,111,0.21041912000000007,0,0.2103087200000001,I:7;S:21,0,0,0,21,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,103,3,fixed_fastest,fixed_path,ok,,0.00304293203125,0.014459435181081021,69.15899462714958,0.0,2.9404,25.00168263609055,0.0016826360905497495,thermal_die0,0.05321958955602289,0.9972881315897776,91,0.0030346799999999992,0.00016194359375000002,0.003060623593750001,F:20;I:7;S:1,0,20,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,103,3,tam_like,fixed_path,ok,,0.00304293203125,0.014459435181081021,69.15899462714958,0.0,2.9404,25.00168263609055,0.0016826360905497495,thermal_die0,0.05321958955602289,0.9972881315897776,91,0.0030346799999999992,0.00016194359375000002,0.003060623593750001,F:20;I:7;S:1,0,20,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,151,103,3,m4_greedy,joint,ok,,0.00304293203125,0.014459435181081021,69.15899462714958,0.0,2.9404,25.00168263609055,0.0016826360905497495,thermal_die0,0.05321958955602289,0.9972881315897776,91,0.0030346799999999992,0.00016194359375000002,0.003060623593750001,F:20;I:7;S:1,0,20,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,20,pure_serial,baseline,ok,,425.6927583199998,1.0,1.0,-2441560.462437824,2.48,43.141096955458686,18.141096955458686,thermal_die5,0.0,0.999999936573974,111,425.6927313199999,0,425.69262092,I:7;S:21,0,0,0,21,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,20,fixed_fastest,fixed_path,ok,,0.017434559999999998,4.0955735467067e-05,24416.60462437824,0.0,32.81000000000001,64.15517502886406,39.155175028864065,thermal_die3,0.0,0.1782000807591359,71,0.00310684,0,0.11887867999999999,B:20;I:7;S:1,20,0,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,20,tam_like,fixed_path,ok,,2.6605857999999993,0.006250014236793749,159.99963553891024,-15160.412651652809,2.48,46.005087995015266,21.005087995015266,thermal_die5,0.9999903028874316,0.001140605952268106,91,0.0030346799999999997,2.660559999999999,2.6634586799999993,F:20;I:7;S:1,0,20,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,20,m4_greedy,joint,ok,,0.017434559999999998,4.0955735467067e-05,24416.60462437824,0.0,32.81000000000001,64.15517502886406,39.155175028864065,thermal_die3,0.0,0.1782000807591359,71,0.00310684,0,0.11887867999999999,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,48,48,3,pure_serial,baseline,ok,,425.6927583199998,1.0,1.0,-733727.5217755858,2.48,43.141096955458686,18.141096955458686,thermal_die5,0.0,0.999999936573974,111,425.6927313199999,0,425.69262092,I:7;S:21,0,0,0,21,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,48,48,3,fixed_fastest,fixed_path,ok,,0.05800991999999999,0.00013627180370400624,7338.275217755859,0.0,12.860000000000001,55.41854108318471,30.418541083184707,thermal_die3,0.0,0.05355704679475511,71,0.00310684,0,0.11887868,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,48,48,3,tam_like,fixed_path,ok,,0.05800991999999999,0.00013627180370400624,7338.275217755859,0.0,12.860000000000001,55.41854108318471,30.418541083184707,thermal_die3,0.0,0.05355704679475511,71,0.00310684,0,0.11887868,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_no_parallel_escape,Shared BIST pressure without FPP/hybrid escape paths,m22_shared_bist_no_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,48,48,3,m4_greedy,joint,ok,,0.05800991999999999,0.00013627180370400624,7338.275217755859,0.0,12.860000000000001,55.41854108318471,30.418541083184707,thermal_die3,0.0,0.05355704679475511,71,0.00310684,0,0.11887868,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,3,pure_serial,baseline,ok,,425.6927583199998,1.0,1.0,-733727.5217755858,2.48,43.141096955458686,18.141096955458686,thermal_die5,0.0,0.999999936573974,111,425.6927313199999,0,425.69262092,I:7;S:21,0,0,0,21,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,3,fixed_fastest,fixed_path,ok,,0.05800991999999999,0.00013627180370400624,7338.275217755859,0.0,12.860000000000001,55.41854108318471,30.418541083184707,thermal_die3,0.0,0.05355704679475511,71,0.00310684,0,0.11887868,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,3,tam_like,fixed_path,ok,,2.6605857999999993,0.006250014236793749,159.99963553891024,-4486.432458448486,2.48,46.005087995015266,21.005087995015266,thermal_die5,0.9999903028874316,0.001140605952268106,91,0.0030346799999999997,2.660559999999999,2.6634586799999993,F:20;I:7;S:1,0,20,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_5_5d_multi_tower,m10_large_p34392_5_5d_multi_tower,p34392,large,5_5d_multi_tower,8,4,28,168,108,3,m4_greedy,joint,ok,,0.040608639999999994,9.539424668688833e-05,10482.812483254791,29.99707636211186,14.96,55.65898256750658,30.658982567506577,thermal_die3,0.8687806338749587,0.07623402310444281,74,0.00309576,0.03528,0.13676168,B:17;F:3;I:7;S:1,17,3,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,76,3,pure_serial,baseline,ok,,0.09304835999999998,1.0,1.0,-4294.213986172504,2.1799999999999997,25.130599203437754,0.13059920343775389,thermal_die1,0.0,0.9997743109067154,87,0.09302735999999996,0,0.09295792000000001,I:5;S:17,0,0,0,17,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,76,3,fixed_fastest,fixed_path,ok,,0.00211752,0.022757198514836804,43.94213986172503,0.0,2.2306999999999997,25.00314164532145,0.0031416453214490048,thermal_die0,0.004189465669155425,0.9976387472137218,71,0.00211252,8.871277343749997e-06,0.0020314712773437495,F:16;I:5;S:1,0,16,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,76,3,tam_like,fixed_path,ok,,0.00211752,0.022757198514836804,43.94213986172503,0.0,2.2306999999999997,25.00314164532145,0.0031416453214490048,thermal_die0,0.004189465669155425,0.9976387472137218,71,0.00211252,8.871277343749997e-06,0.0020314712773437495,F:16;I:5;S:1,0,16,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,121,76,3,m4_greedy,joint,ok,,0.00211752,0.022757198514836804,43.94213986172503,0.0,2.2306999999999997,25.00314164532145,0.0031416453214490048,thermal_die0,0.004189465669155425,0.9976387472137218,71,0.00211252,8.871277343749997e-06,0.0020314712773437495,F:16;I:5;S:1,0,16,0,1,greedy
